Source node id,Link,x,y,Pickup time,Dest node id,Dest link,Dest x,Dest y,orig_station,dest_station
2248769214,309427,1443925.3609853536,468526.93291338295,00:00:24,2819579964,154214,1446485.5211680443,462927.8150045648,5,4
1206753810,363101,1450390.1811726503,474972.18075389497,00:01:16,5283675521,308117,1442768.615165206,475981.2156373386,6,8
7492630448,413514,1449527.8952107625,472460.3071366641,00:01:16,65336941,265371,1451834.351783862,477250.001705446,7,6
6336978432,210298,1442653.591808905,467413.8403892761,00:01:16,4828619092,299893,1436547.108701328,467176.6343792198,5,1
6737213879,357985,1440859.2761717294,478089.4584858774,00:01:19,5433624624,143332,1440680.815510744,471193.1269469591,8,1
317122247,261783,1452221.6036762104,476968.63648808777,00:01:28,4826043890,344168,1445096.3392323535,477640.3558003184,6,8
7233567557,207593,1449782.1473970157,477593.4850499311,00:01:29,6919031545,194990,1426582.8407321672,474326.0191663122,6,9
5438557795,158087,1440866.6505893357,465191.1096232872,00:01:32,65301512,346419,1439839.9752751044,468993.87676564814,5,1
4089809876,219822,1450608.068096351,475136.5922511034,00:01:44,5427170077,316232,1448999.187590243,478875.9028160731,6,3
65300105,408857,1450452.2176873232,474124.1966883497,00:02:08,65290756,104094,1448910.4224602722,475461.2418499782,6,7
65334125,348680,1447388.3218691691,474207.87010166165,00:02:27,6710688121,259502,1444241.2656400744,475859.5480863796,7,8
6250503342,281528,1450998.7152475156,475254.7384536784,00:02:28,6319217961,153881,1448615.2309196347,475766.5611955694,6,7
6270792546,114200,1453182.4621141,476484.7515611688,00:02:36,1270745634,44185,1450570.2870495936,473946.3986498866,6,6
262078986,1618,1440877.2346234485,479099.7803661168,00:02:38,65328730,155845,1449150.5518731996,478896.8537185656,8,3
65312649,114039,1448741.6204767944,479187.8116470601,00:03:05,7231066380,446517,1448546.5228691734,476113.1501960187,3,7
65312391,143731,1448328.0866771936,474439.7480824024,00:03:10,1580501212,181305,1451540.2882303551,474299.1964192384,7,6
260494512,267177,1441504.096170394,466135.2645729965,00:03:25,65292398,269177,1444152.4529212443,468669.1796357183,5,5
4763953293,24725,1445538.0329250689,462878.1413704965,00:03:28,65306918,136724,1449794.6940890115,473496.8791516536,4,7
4179023900,154190,1450409.4115639224,412816.4218973712,00:03:29,7399847693,158726,1449523.2096919182,415784.8493143367,2,2
65314156,143730,1448294.5440710858,474679.71088147536,00:03:30,65353195,334650,1451391.0243878388,474718.8675713323,7,6
6514737752,51391,1449039.1787544617,478179.7959862239,00:03:34,65307448,398976,1440431.1620341337,475327.7016928965,3,8
