x,y,nearest_node
1452115.3201306728,470029.9743758686,6428857997
1437955.100732948,471346.3761572077,3998165086
1452813.703742656,413664.397056891,1087033894
1447819.0093325973,479926.44492294407,7231323837
1445145.8593256343,460761.05171576777,5443374279
1443588.4535791022,467241.1727033714,65306347
1451375.3407376644,476021.105959518,6967263269
1447801.8629073338,474245.01322641096,65334120
1441860.8304533428,477421.3893710687,65281856
1429730.519427967,468060.58246987127,4025603856
