0,1,2,3,4,5,6,7,8,9
0.0,738.2362747182425,2332.858202903859,502.68882029023894,600.1495584299427,438.2154043816339,284.65109648455245,349.01268847177664,646.5600196101786,971.3330741633813
738.2362747182425,0.0,2854.844225603353,700.1800136246692,764.323471750528,515.4562377424725,693.685941616811,636.0439907318616,416.334998485648,516.5505511756794
2332.858202903859,2854.844225603353,0.0,2830.128760262106,2257.759117367026,2545.8154550857894,2621.3827406902096,2676.452628443643,2972.763469064122,2983.8515294543095
502.68882029023894,700.1800136246692,2830.128760262106,0.0,977.8265159160268,782.751094392887,326.42560817279696,398.838728255526,392.18000265027575,1110.2046693400766
600.1495584299427,764.323471750528,2257.759117367026,977.8265159160268,0.0,448.7379705816394,716.1466577806201,771.216545534053,884.2629702065951,945.3851394613849
438.2154043816339,515.4562377424725,2545.8154550857894,782.751094392887,448.7379705816394,0.0,505.91469633240587,560.2748922458428,583.9804199174952,693.6298063170275
284.65109648455245,693.685941616811,2621.3827406902096,326.42560817279696,716.1466577806201,505.91469633240587,0.0,265.86837627660947,444.1778163276351,1033.5116445991662
349.01268847177664,636.0439907318616,2676.452628443643,398.838728255526,771.216545534053,560.2748922458428,265.86837627660947,0.0,520.6530289561275,1102.3704615669033
646.5600196101786,416.334998485648,2972.763469064122,392.18000265027575,884.2629702065951,583.9804199174952,444.1778163276351,520.6530289561275,0.0,794.0866244014288
971.3330741633813,516.5505511756794,2983.8515294543095,1110.2046693400766,945.3851394613849,693.6298063170275,1033.5116445991662,1102.3704615669033,794.0866244014288,0.0
